Base Word,Guideword,Level,Part of Speech,Topic
cat,,A1,noun,animals
baby,ANIMAL,A2,noun,animals
bear,,A2,noun,animals
chicken,BIRD,A2,noun,animals
ant,,B1,noun,animals
bat,ANIMAL,B1,noun,animals
bee,,B1,noun,animals
bug,INSECT,B1,noun,animals
bull,,B1,noun,animals
butterfly,,B1,noun,animals
cage,,B1,noun,animals
calf,ANIMAL,B1,noun,animals
camel,,B1,noun,animals
breed,,B2,noun,animals
cell,ORGANISM,B2,noun,animals
collar,ON AN ANIMAL,B2,noun,animals
beak,,C1,noun,animals
bark,DOG,B2,verb,animals
breed,,B2,verb,animals
ad,,A1,noun,arts and media
band,,A1,noun,arts and media
book,FOR READING,A1,noun,arts and media
camera,,A1,noun,arts and media
cartoon,FILM,A2,noun,arts and media
cartoon,DRAWING,A2,noun,arts and media
channel,TV,A2,noun,arts and media
clown,,A2,noun,arts and media
act,THEATER,B1,noun,arts and media
album,MUSIC,B1,noun,arts and media
article,NEWSPAPER,B1,noun,arts and media
audience,GROUP,B1,noun,arts and media
biography,,B1,noun,arts and media
chapter,,B1,noun,arts and media
character,IN A STORY,B1,noun,arts and media
circus,,B1,noun,arts and media
audience,TYPE,B2,noun,arts and media
beat,MUSIC,B2,noun,arts and media
cast,,B2,noun,arts and media
cello,,B2,noun,arts and media
choir,,B2,noun,arts and media
column,PRINTING,B2,noun,arts and media
bow,INSTRUMENT,C2,noun,arts and media
art,"PAINTINGS/DRAWINGS, ETC.",A2,noun,arts and media
cable,TELEVISION/TELEPHONE,B1,noun,arts and media
ballet,,B2,noun,arts and media
cinema,ART,C1,noun,arts and media
brass,MUSIC,C2,noun,arts and media
background,PICTURE,B2,noun,arts and media
accompany,MUSIC,C2,verb,arts and media
act,PERFORM,B1,verb,arts and media
advertise,TRY TO SELL,B1,verb,arts and media
broadcast,,B2,verb,arts and media
arm,BODY,A1,noun,body and health
body,PERSON,A1,noun,body and health
accident,BAD EVENT,A2,noun,body and health
back,BODY,A2,noun,body and health
brain,BODY PART,A2,noun,body and health
cold,ILLNESS,A2,noun,body and health
ache,,B1,noun,body and health
ankle,,B1,noun,body and health
body,NOT ARMS/LEGS,B1,noun,body and health
breast,,B1,noun,body and health
cheek,,B1,noun,body and health
chin,,B1,noun,body and health
beat,REGULAR SOUND,B2,noun,body and health
bite,INJURY,B2,noun,body and health
breakdown,ILLNESS,B2,noun,body and health
bruise,,B2,noun,body and health
bug,ILLNESS,B2,noun,body and health
chest,BODY,B2,noun,body and health
butt,,C1,noun,body and health
antibiotic,,C2,noun,body and health
blister,,C2,noun,body and health
calf,LEG,C2,noun,body and health
case,ILLNESS,C2,noun,body and health
blood,RED LIQUID,A2,noun,body and health
breath,AIR,B1,noun,body and health
care,PROTECTION,B2,noun,body and health
cholesterol,,C1,noun,body and health
bandage,,A2,noun,body and health
birth,BABY,A2,noun,body and health
aspirin,,B1,noun,body and health
backache,,B1,noun,body and health
bone,,B1,noun,body and health
beat,HEART,B1,verb,body and health
bleed,,B1,verb,body and health
ache,,B2,verb,body and health
catch,ILLNESS,A2,verb,body and health
burn,HURT BODY,B1,verb,body and health
bump,HURT,B2,verb,body and health
carry,DISEASE,C1,verb,body and health
attack,DISEASE,C2,verb,body and health
breathe,,B1,verb,body and health
blouse,,A1,noun,clothes
boot,,A1,noun,clothes
coat,,A1,noun,clothes
belt,CLOTHING,A2,noun,clothes
bracelet,,A2,noun,clothes
cap,,A2,noun,clothes
button,ON CLOTHING,B1,noun,clothes
collar,PART OF CLOTHES,B1,noun,clothes
badge,,B2,noun,clothes
bikini,,B2,noun,clothes
bra,,B2,noun,clothes
cardigan,,B2,noun,clothes
answer,REACTION,A1,noun,communication
capital letter,,A2,noun,communication
card,GREETINGS,A2,noun,communication
check,MARK,A2,noun,communication
accent,PRONUNCIATION,B1,noun,communication
alarm,WARNING,B1,noun,communication
alphabet,,B1,noun,communication
brochure,,B1,noun,communication
call,SHOUT,B1,noun,communication
card,INFORMATION,B1,noun,communication
certificate,,B1,noun,communication
accent,MARK,B2,noun,communication
account,REPORT,B2,noun,communication
apostrophe,,B2,noun,communication
arrow,SYMBOL,B2,noun,communication
ban,,B2,noun,communication
booklet,,B2,noun,communication
chart,DRAWING,B2,noun,communication
colon,,B2,noun,communication
character,WRITING,C1,noun,communication
claim,STATEMENT,C1,noun,communication
appeal,REQUEST,C2,noun,communication
channel,COMMUNICATION,C2,noun,communication
cliché,,C2,noun,communication
advice,,A2,noun,communication
blame,,B2,noun,communication
abuse,LANGUAGE,C2,noun,communication
chat,,A2,noun,communication
apology,,B1,noun,communication
code,SECRET MESSAGE,B2,noun,communication
attack,CRITICISM,C2,noun,communication
answer,DOOR/TELEPHONE,A2,noun,communication
chat,TALK,A2,verb,communication
argue,DISAGREE,B1,verb,communication
check,ASK,B2,verb,communication
cheer,,B2,verb,communication
appeal,REQUEST,C1,verb,communication
ask,INVITE,A2,verb,communication
add,SAY MORE,B1,verb,communication
announce,,B1,verb,communication
approve,AGREE,B1,verb,communication
blame,RESPONSIBLE,B1,verb,communication
amuse,MAKE LAUGH,B2,verb,communication
assume,,B2,verb,communication
assure,,B2,verb,communication
call,DESCRIBE,B2,verb,communication
capture,DESCRIBE,B2,verb,communication
challenge,,B2,verb,communication
claim,SAY,B2,verb,communication
attack,CRITICIZE,C1,verb,communication
clarify,,C1,verb,communication
allege,,C2,verb,communication
answer,REACT,A1,verb,communication
ask,QUESTION,A1,verb,communication
agree,SAME OPINION,A2,verb,communication
answer,DOOR/PHONE,A2,verb,communication
admit,,B1,verb,communication
advise,,B1,verb,communication
ask,REQUEST,B1,verb,communication
ask,WANT SOMETHING,B1,verb,communication
ask,WANT PERMISSION,B1,verb,communication
call,SHOUT,B1,verb,communication
argue,GIVE REASONS,B2,verb,communication
beg,STRONG REQUEST,B2,verb,communication
beg,VERY POOR,B2,verb,communication
boast,PRIDE,B2,verb,communication
call,ASK TO COME,B2,verb,communication
claim,DEMAND,B2,verb,communication
burglar,,B2,noun,crime
case,CRIME,B2,noun,crime
case,COURT OF LAW,B2,noun,crime
arrest,,B2,noun,crime
burglary,,B2,noun,crime
arrest,,B1,verb,crime
centimeter,,A2,noun,describing things
circle,SHAPE,A2,noun,describing things
amount,,B1,noun,describing things
average,AMOUNT,B1,noun,describing things
bit,SMALL AMOUNT,B1,noun,describing things
bunch,THINGS,B1,noun,describing things
bar,BLOCK,B2,noun,describing things
base,BOTTOM,B2,noun,describing things
block,PIECE,B2,noun,describing things
angle,SPACE,C1,noun,describing things
acre,,C2,noun,describing things
black,,A2,noun,describing things
accuracy,,B2,noun,describing things
color,APPEARANCE,A1,noun,describing things
blue,,A2,noun,describing things
brown,,A2,noun,describing things
average,USUAL/TYPICAL,B1,noun,describing things
class,TEACHING GROUP,A1,noun,education
blackboard,,A2,noun,education
branch,SUBJECT,B2,noun,education
chemistry,,A2,noun,education
class,LESSON,A1,noun,education
college,,A2,noun,education
bean,,A1,noun,food and drink
café,,A1,noun,food and drink
coffee shop,,A1,noun,food and drink
bar,DRINKING PLACE,A2,noun,food and drink
barbecue,PARTY,A2,noun,food and drink
bottle,,A2,noun,food and drink
bowl,,A2,noun,food and drink
burger,,A2,noun,food and drink
cafeteria,,A2,noun,food and drink
can,,A2,noun,food and drink
bite,FOOD,B2,noun,food and drink
bun,,B2,noun,food and drink
cherry,,B2,noun,food and drink
casserole,CONTAINER,C2,noun,food and drink
bread,,A1,noun,food and drink
butter,,A1,noun,food and drink
beef,,B1,noun,food and drink
broccoli,,B1,noun,food and drink
chewing gum,,B1,noun,food and drink
apple,,A1,noun,food and drink
banana,,A1,noun,food and drink
breakfast,,A1,noun,food and drink
cake,FOOD,A1,noun,food and drink
cheese,,A1,noun,food and drink
chocolate,FOOD,A1,noun,food and drink
coffee,,A1,noun,food and drink
candy,,A2,noun,food and drink
carrot,VEGETABLE,A2,noun,food and drink
cereal,BREAKFAST FOOD,A2,noun,food and drink
cola,,A2,noun,food and drink
cabbage,,B1,noun,food and drink
coconut,,B1,noun,food and drink
appetite,FOOD,C1,noun,food and drink
cereal,PLANT,C1,noun,food and drink
casserole,FOOD,C2,noun,food and drink
barbecue,,B1,verb,food and drink
boil,COOK,B1,verb,food and drink
beat,MIX,C1,verb,food and drink
bake,,A2,verb,food and drink
burn,COOK TOO LONG,B1,verb,food and drink
address,BUILDING DETAILS,A1,noun,homes and buildings
bathroom,ROOM,A1,noun,homes and buildings
bedroom,,A1,noun,homes and buildings
bookcase,,A1,noun,homes and buildings
chair,,A1,noun,homes and buildings
apartment,,A2,noun,homes and buildings
armchair,,A2,noun,homes and buildings
blanket,FOR BED,A2,noun,homes and buildings
board,INFORMATION,A2,noun,homes and buildings
bookshelf,,A2,noun,homes and buildings
cabinet,,A2,noun,homes and buildings
castle,,A2,noun,homes and buildings
ceiling,ROOM,A2,noun,homes and buildings
center,PLACE,A2,noun,homes and buildings
balcony,HOUSE ETC.,B1,noun,homes and buildings
bathtub,,B1,noun,homes and buildings
cabin,HOUSE,B1,noun,homes and buildings
candle,,B1,noun,homes and buildings
chest of drawers,,B1,noun,homes and buildings
attic,,B2,noun,homes and buildings
barrier,FENCE,B2,noun,homes and buildings
basement,,B2,noun,homes and buildings
bench,,B2,noun,homes and buildings
brick,,B2,noun,homes and buildings
cellar,,B2,noun,homes and buildings
chimney,,B2,noun,homes and buildings
cloth,FOR CLEANING,B2,noun,homes and buildings
column,BUILDING,B2,noun,homes and buildings
balcony,THEATER,C2,noun,homes and buildings
air conditioning,,B1,noun,homes and buildings
architecture,STYLE,B1,noun,homes and buildings
bed,FOR SLEEP,A1,noun,homes and buildings
carpet,,A2,noun,homes and buildings
bank,MONEY,A1,noun,money
cent,,A2,noun,money
account,BANK,B1,noun,money
bill,MONEY,B1,noun,money
coin,,B1,noun,money
award,PRIZE,B2,noun,money
balance,MONEY,B2,noun,money
bank account,,B2,noun,money
budget,,B2,noun,money
bid,BUY,C2,noun,money
cash,NOTES/COINS,A2,noun,money
change,MONEY,B1,noun,money
change,COINS,B1,noun,money
borrow,GET,A2,verb,money
change,MONEY,A2,verb,money
borrow,MONEY,C1,verb,money
beach,,A1,noun,natural world
area,REGION,A2,noun,natural world
bay,WATER,B1,noun,natural world
branch,TREE,B1,noun,natural world
breeze,,B1,noun,natural world
cave,,B1,noun,natural world
cliff,,B1,noun,natural world
coast,,B1,noun,natural world
atom,,B2,noun,natural world
bank,RIVER,B2,noun,natural world
berry,,B2,noun,natural world
bush,,B2,noun,natural world
carbon footprint,,B2,noun,natural world
cloud,SMOKE/DUST,B2,noun,natural world
bed,BOTTOM,C2,noun,natural world
air,GAS,A2,noun,natural world
aluminum,,B2,noun,natural world
carbon,,B2,noun,natural world
carbon dioxide,,B2,noun,natural world
carbon monoxide,,B2,noun,natural world
climate change,,B2,noun,natural world
astronomy,,C2,noun,natural world
cloud,WATER,A2,noun,natural world
climate,WEATHER,B1,noun,natural world
acid,,B2,noun,natural world
coastline,,C2,noun,natural world
bottom,SEA/RIVER/LAKE,B1,noun,natural world
atmosphere,AIR INSIDE,B2,noun,natural world
blow,WIND,B1,verb,natural world
break,STORM,C2,verb,natural world
boil,HEAT LIQUID,B1,verb,natural world
bath,,A1,noun,people: actions
check,EXAMINATION,B1,noun,people: actions
act,THING DONE,B2,noun,people: actions
attempt,,B2,noun,people: actions
capture,,C1,noun,people: actions
come,MOVE TO SPEAKER,A1,verb,people: actions
come,GO WITH SOMEONE,A1,verb,people: actions
act,BEHAVE,B1,verb,people: actions
behave,IN A PARTICULAR WAY,B1,verb,people: actions
blow,PERSON,B1,verb,people: actions
act,DO SOMETHING,B2,verb,people: actions
adjust,CHANGE BEHAVIOR,B2,verb,people: actions
campaign,,C1,verb,people: actions
cling,HOLD TIGHT,C2,verb,people: actions
carry,HOLD,A1,verb,people: actions
clean,REMOVE DIRT,A1,verb,people: actions
color,APPEARANCE,A1,verb,people: actions
add,PUT WITH,A2,verb,people: actions
add,CALCULATE,A2,verb,people: actions
bring,TAKE WITH YOU,A2,verb,people: actions
brush,CLEAN/ARRANGE,A2,verb,people: actions
collect,KEEP,A2,verb,people: actions
achieve,,B1,verb,people: actions
attach,CONNECT,B1,verb,people: actions
attempt,,B1,verb,people: actions
avoid,STAY AWAY FROM,B1,verb,people: actions
bury,DEAD BODY,B1,verb,people: actions
cancel,,B1,verb,people: actions
carry,HAVE WITH YOU,B1,verb,people: actions
catch,STOP ESCAPING,B1,verb,people: actions
circle,DRAW,B1,verb,people: actions
collect,BRING TOGETHER,B1,verb,people: actions
acquire,LEARN,B2,verb,people: actions
adapt,CHANGE SOMETHING,B2,verb,people: actions
adjust,CHANGE,B2,verb,people: actions
adopt,START,B2,verb,people: actions
analyze,,B2,verb,people: actions
arrange,PUT IN POSITION,B2,verb,people: actions
assess,,B2,verb,people: actions
avoid,PREVENT,B2,verb,people: actions
beat,HIT,B2,verb,people: actions
bury,HIDE,B2,verb,people: actions
calculate,MATH,B2,verb,people: actions
capture,CATCH,B2,verb,people: actions
clear,,B2,verb,people: actions
clutch,,C2,verb,people: actions
catch,TAKE HOLD,A1,verb,people: actions
change,START SOMETHING NEW,A1,verb,people: actions
choose,,A1,verb,people: actions
close,DOOR/WINDOW,A1,verb,people: actions
check,EXAMINE,A2,verb,people: actions
climb,PERSON,A2,verb,people: actions
arrange,PLAN,B1,verb,people: actions
attend,BE PRESENT,B1,verb,people: actions
babysit,,B1,verb,people: actions
clap,,B1,verb,people: actions
approach,COME CLOSE,B2,verb,people: actions
assist,,B2,verb,people: actions
bang,,B2,verb,people: actions
bend,BODY,B2,verb,people: actions
brush,TOUCH,B2,verb,people: actions
charge,ATTACK,B2,verb,people: actions
chase,RUN AFTER,B2,verb,people: actions
combine,,B2,verb,people: actions
blow,SOUND,C2,verb,people: actions
carve,,C2,verb,people: actions
adult,,A1,noun,people: appearance
baby,CHILD,A1,noun,people: appearance
beard,,A1,noun,people: appearance
boy,,A1,noun,people: appearance
comb,,A2,noun,people: appearance
adolescent,,C2,noun,people: appearance
beauty,BEING BEAUTIFUL,B1,noun,people: appearance
childhood,,B1,noun,people: appearance
background,EXPERIENCE,B1,noun,people: personality
chance,RISK,B2,noun,people: personality
brain,INTELLIGENCE,C1,noun,people: personality
bully,,C1,noun,people: personality
character,INTERESTING PERSON,C1,noun,people: personality
anger,,B2,noun,people: personality
anxiety,,B2,noun,people: personality
appeal,QUALITY,B2,noun,people: personality
certainty,BEING SURE,B2,noun,people: personality
charisma,,C2,noun,people: personality
attitude,,B1,noun,people: personality
character,QUALITIES/PERSONALITY,B1,noun,people: personality
charm,QUALITY,B2,noun,people: personality
care,LOVE,B1,verb,people: personality
appeal,ATTRACT,B2,verb,people: personality
approve,GOOD OPINION,B2,verb,people: personality
belong,HAPPY SOMEWHERE,B2,verb,people: personality
blush,,B2,verb,people: personality
believe,TRUE,A2,verb,people: personality
bother,ANNOY,A2,verb,people: personality
annoy,,B1,verb,people: personality
attract,ENCOURAGE INTEREST,B1,verb,people: personality
admire,RESPECT,B2,verb,people: personality
appreciate,VALUE,B2,verb,people: personality
betray,,B2,verb,people: personality
bother,WORRY,B2,verb,people: personality
bear,ACCEPT,C1,verb,people: personality
behave,BE POLITE,B1,verb,people: personality
care,WORRY,B1,verb,people: personality
cheat,,B2,verb,people: personality
capital,,A2,noun,politics
citizen,LEGAL RIGHT,B2,noun,politics
center,POLITICAL,C2,noun,politics
birthday,,A1,noun,relationships
brother,,A1,noun,relationships
aunt,,A2,noun,relationships
boyfriend,,A2,noun,relationships
anniversary,,B1,noun,relationships
bride,,B1,noun,relationships
ceremony,,B1,noun,relationships
affair,RELATIONSHIP,B2,noun,relationships
bond,,B2,noun,relationships
brother-in-law,,B2,noun,relationships
circle,GROUP,B2,noun,relationships
bond,,C2,verb,relationships
call,NAME,B1,verb,relationships
celebrate,,B1,verb,relationships
adopt,TAKE CHILD,B2,verb,relationships
bag,,A1,noun,shopping
ball,ROUND OBJECT,A1,noun,shopping
bat,STICK,A1,noun,shopping
bookstore,,A1,noun,shopping
box,CONTAINER,A1,noun,shopping
board,GAMES,A2,noun,shopping
board game,,A2,noun,shopping
card,GAME,A2,noun,shopping
basket,,B1,noun,shopping
captain,SPORTS,B1,noun,shopping
chain,BUSINESS,B1,noun,shopping
champion,WINNER,B1,noun,shopping
checkout,store,B1,noun,shopping
club,TEAM,B1,noun,shopping
arrow,WEAPON,B2,noun,shopping
brand,,B2,noun,shopping
catalog,,B2,noun,shopping
business,SELLING,A1,noun,shopping
badminton,,A2,noun,shopping
chess,,A2,noun,shopping
baseball,,A1,noun,shopping
basketball,,A1,noun,shopping
come,BE AVAILABLE,A2,verb,shopping
appear,BECOME AVAILABLE,B2,verb,shopping
browse,LOOK,B2,verb,shopping
beat,DEFEAT,B1,verb,shopping
address,ELECTRONIC,A1,noun,technology
CD,,A1,noun,technology
bulb,,B1,noun,technology
button,ON MACHINE,B1,noun,technology
card,COMPUTER,B1,noun,technology
backup,COPY,B2,noun,technology
bookmark,,B2,noun,technology
breakdown,NOT WORKING,B2,noun,technology
bug,COMPUTER,B2,noun,technology
chip,COMPUTER PART,B2,noun,technology
access,RIGHT/OPPORTUNITY,B1,noun,technology
broadband,,B2,noun,technology
CD-ROM,,B1,noun,technology
cable,WIRE,B2,noun,technology
attach,COMPUTING,B1,verb,technology
access,,B2,verb,technology
bookmark,,B2,verb,technology
burn,COPY,B2,verb,technology
browse,COMPUTING,B2,verb,technology
charge,ELECTRICITY,B2,verb,technology
bike,BICYCLE,A1,noun,travel
boat,,A1,noun,travel
bus,,A1,noun,travel
car,ROAD,A1,noun,travel
airplane,,A2,noun,travel
airport,,A2,noun,travel
bicycle,,A2,noun,travel
bus station,,A2,noun,travel
bus stop,,A2,noun,travel
brake,,B1,noun,travel
cab,,B1,noun,travel
cabin,AIRCRAFT,B1,noun,travel
campsite,,B1,noun,travel
check-in (counter),,B1,noun,travel
aircraft,,B2,noun,travel
captain,SHIP/AIRCRAFT,B2,noun,travel
car,TRAIN,C1,noun,travel
cabin,SHIP,C2,noun,travel
carriage,,C2,noun,travel
air,AIRCRAFT,A2,noun,travel
baggage,BAGS,B1,noun,travel
approach,COMING CLOSER,B2,noun,travel
adventure,,A2,noun,travel
camp,TENTS/BUILDINGS,B1,noun,travel
camp,vacation place,B1,noun,travel
camp,,A2,verb,travel
accelerate,VEHICLE,C2,verb,travel
catch,TRAVEL,A1,verb,travel
carry,TRANSPORT,B2,verb,travel
board,,B1,verb,travel
book,,B1,verb,travel
boss,,A2,noun,work
business,ORGANIZATION,A2,noun,work
businessman,,A2,noun,work
businesswoman,,A2,noun,work
agency,BUSINESS,B1,noun,work
architect,,B1,noun,work
career,JOB,B1,noun,work
agent,SECRET INFORMATION,B2,noun,work
analyst,,B2,noun,work
chief,,B2,noun,work
client,,B2,noun,work
bid,OFFER,C1,noun,work
board,ORGANIZATION,C1,noun,work
career,TIME,C2,noun,work
architecture,SUBJECT,B1,noun,work
business,WORK,B1,noun,work
benefit,SERVICE,B1,noun,work
advertise,ASK FOR,B1,verb,work
appoint,,C1,verb,work
build,,A2,verb,work
cigarette,,A2,noun,body and health
addict,,B2,noun,body and health
cancer,,B1,noun,body and health
alcohol,,A2,noun,food and drink
champagne,,A2,noun,food and drink
bacon,,B1,noun,food and drink
beer,,A1,noun,food and drink
cathedral,,A2,noun,homes and buildings
church,,A2,noun,homes and buildings
bribe,,C1,noun,money
bomb,,B1,verb,people: actions
arrival,NEW PERSON/THING,C1,noun,
arrival,,B1,noun,
approval,GOOD OPINION,B2,noun,
arrival,BECOME AVAILABLE,C2,noun,
acquaintance,,C1,noun,
appliance,,C1,noun,
alliance,,C2,noun,
annoyance,,C1,noun,
acceptance,,C1,noun,
attendance,NUMBER,C1,noun,
attendance,REGULARLY,C1,noun,
coherence,SHARED BELIEFS/PURPOSE,C2,noun,
coincidence,,B2,noun,
baker,,B1,noun,
blogger,,B1,noun,
border,,B1,noun,
butcher,,B1,noun,
buyer,,B1,noun,
banker,,B2,noun,
climbing,,A2,noun,
advertising,,B2,noun,
banking,BUSINESS,B2,noun,
coaching,,B2,noun,
backing,,C2,noun,
ambition,HOPE,B1,noun,
application,REQUEST,B1,noun,
attraction,THING TO SEE OR DO,B1,noun,
collection,OBJECTS,B1,noun,
collection,GROUP,B1,noun,
addition,NEW THING,B2,noun,
association,,B2,noun,
collocation,,B2,noun,
accusation,,C1,noun,
assumption,,C1,noun,
audition,,C1,noun,
administration,MANAGEMENT,C2,noun,
administration,GOVERNMENT,C2,noun,
allocation,PART,C2,noun,
attention,NOTICE,B1,noun,
administration,ORGANIZING,C1,noun,
aggression,,C1,noun,
caution,CARE,C1,noun,
civilization,WAY OF LIFE,C1,noun,
action,FIGHTING,C2,noun,
allocation,PROCESS,C2,noun,
anticipation,WAITING,C2,noun,
civilization,SOCIETY,B2,noun,
combination,,B2,noun,
action,LEGAL PROCESS,C1,noun,
adaptation,,C1,noun,
alteration,,C1,noun,
auction,,C1,noun,
cancellation,,C1,noun,
collaboration,,C1,noun,
accumulation,,C2,noun,
application,USE,C2,noun,
association,CONNECTION,C2,noun,
classification,,C2,noun,
action,PROCESS,C2,noun,
artist,,A2,noun,
chemist,,B1,noun,
celebrity,,B1,noun,
authority,OFFICIAL,C1,noun,
activity,MOVEMENT,B2,noun,
authority,POWER,B2,noun,
availability,,B2,noun,
